정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
(구)주안2동치안센터,37302,7704 ,4576 ,7704 ,4576 ,0 ,396 
(주)경동세라믹스,89146,868 ,10 ,868 ,10 ,0 ,28 
(주)경인양행앞,42096,1670 ,1030 ,1670 ,1030 ,0 ,87 
(주)경인양행앞,42097,2131 ,5063 ,2131 ,5063 ,0 ,232 
(주)대한특수금속,39050,1218 ,150 ,1218 ,150 ,0 ,44 
(주)두남,39135,152 ,82 ,152 ,82 ,0 ,7 
(주)세모입구(린나이코리아),37585,1316 ,1708 ,1316 ,1708 ,0 ,97 
(주)세모입구(린나이코리아),40893,411 ,747 ,411 ,747 ,0 ,37 
(주)스킨이데아,89388,1242 ,3631 ,1242 ,3631 ,0 ,157 
(주)스킨이데아,89389,3260 ,70 ,3260 ,70 ,0 ,107 
(주)우리김치,39133,423 ,3568 ,423 ,3568 ,0 ,128 
(주)우리김치,39134,2303 ,423 ,2303 ,423 ,0 ,87 
(주)창원,39029,3547 ,2865 ,3547 ,2865 ,0 ,206 
(주)창원,39030,3725 ,3600 ,3725 ,3600 ,0 ,236 
(주)하나금속,39124,15 ,51 ,15 ,51 ,0 ,2 
17사단.다임메가타운,40895,2277 ,4824 ,2277 ,4824 ,0 ,229 
17사단입구,40832,70 ,575 ,70 ,575 ,0 ,20 
2001아울렛,40154,4117 ,6027 ,4117 ,6027 ,0 ,327 
2001아울렛,40159,31194 ,13351 ,31194 ,13351 ,0 ,1436 
2001아울렛,40162,10251 ,21324 ,10251 ,21324 ,0 ,1018 
2001아울렛부평점,40158,4269 ,4321 ,4269 ,4321 ,0 ,277 
2차풍림아이원,42584,22 ,10828 ,22 ,10828 ,0 ,350 
3단지,40736,235 ,1653 ,235 ,1653 ,0 ,60 
3단지관리사무소,40107,2044 ,448 ,2044 ,448 ,0 ,80 
41번구종점,42174,2225 ,6344 ,2225 ,6344 ,0 ,276 
510번차고지,36145,909 ,591 ,909 ,591 ,0 ,48 
540번종점,39470,3230 ,4342 ,3230 ,4342 ,0 ,244 
6공단사거리,37577,335 ,2201 ,335 ,2201 ,0 ,81 
6공단입구,37442,572 ,1058 ,572 ,1058 ,0 ,52 
6공단입구,37443,1094 ,1316 ,1094 ,1316 ,0 ,77 
8부두,35181,363 ,2234 ,363 ,2234 ,0 ,83 
8부두,35182,2375 ,2417 ,2375 ,2417 ,0 ,154 
BMX경기장,90459,13 ,2 ,13 ,2 ,0 ,0 
BMX경기장,90477,1 ,25 ,1 ,25 ,0 ,0 
CJ인천2공장,35591,411 ,3913 ,411 ,3913 ,0 ,139 
CJ인천2공장,35592,2896 ,114 ,2896 ,114 ,0 ,97 
E편한세상,42453,2362 ,1940 ,2362 ,1940 ,0 ,138 
E편한세상,42649,1309 ,4837 ,1309 ,4837 ,0 ,198 
E편한세상,42726,4675 ,1588 ,4675 ,1588 ,0 ,202 
GM물류센터,40568,712 ,1198 ,712 ,1198 ,0 ,61 
GS25편의점,36142,1375 ,3031 ,1375 ,3031 ,0 ,142 
GS칼텍스,35168,458 ,45 ,458 ,45 ,0 ,16 
GS칼텍스,35557,11 ,1978 ,11 ,1978 ,0 ,64 
GS칼텍스,89220,156 ,706 ,156 ,706 ,0 ,27 
GS칼텍스,89224,340 ,2108 ,340 ,2108 ,0 ,78 
GS칼텍스주유소,39814,244 ,19 ,244 ,19 ,0 ,8 
HD현대인프라코어,36081,869 ,1737 ,869 ,1737 ,0 ,84 
HD현대인프라코어,36083,2323 ,879 ,2323 ,879 ,0 ,103 
HD현대인프라코어후문,36077,6 ,815 ,6 ,815 ,0 ,26 
HD현대인프라코어후문,36078,3519 ,781 ,3519 ,781 ,0 ,138 
JC회관,37383,4453 ,4278 ,4453 ,4278 ,0 ,281 
JST기술연구소,89491,2 ,2185 ,2 ,2185 ,0 ,70 
JST기술연구소,89492,925 ,76 ,925 ,76 ,0 ,32 
KCC아파트,42391,2217 ,1444 ,2217 ,1444 ,0 ,118 
KG모빌리티인천서비스센터,36144,75 ,1265 ,75 ,1265 ,0 ,43 
KG스틸,42008,2560 ,3908 ,2560 ,3908 ,0 ,208 
KTX광명역4번출구,58057,60 ,22 ,60 ,22 ,0 ,2 
KT부평지사,40381,9975 ,7086 ,9975 ,7086 ,0 ,550 
KT부평지사,40384,8108 ,13561 ,8108 ,13561 ,0 ,699 
KT서인천지사,42932,1695 ,2618 ,1695 ,2618 ,0 ,139 
KT서인천지사,42933,1862 ,1045 ,1862 ,1045 ,0 ,93 
KT송도지점,38568,701 ,509 ,701 ,509 ,0 ,39 
KT온수분국,43523,558 ,315 ,558 ,315 ,0 ,28 
KT인천공항지사,35095,288 ,289 ,288 ,289 ,0 ,18 
KT인천공항지사,35109,6860 ,5085 ,6855 ,5085 ,5 ,385 
KT인천지사,37415,6773 ,4914 ,6773 ,4914 ,0 ,377 
KT인천지사,39319,8037 ,5766 ,8037 ,5766 ,0 ,445 
KT중동지사,55081,1157 ,232 ,1157 ,232 ,0 ,44 
KT중동지사,55082,238 ,1320 ,238 ,1320 ,0 ,50 
LG마그나,89029,5379 ,2500 ,5379 ,2500 ,0 ,254 
LG마그나,89264,3362 ,5363 ,3362 ,5363 ,0 ,281 
LG물류센터,39043,619 ,248 ,619 ,248 ,0 ,27 
LG물류센터,39044,236 ,721 ,236 ,721 ,0 ,30 
LG전자(주),42297,5355 ,5523 ,5355 ,5523 ,0 ,350 
LH1단지,35494,9730 ,3669 ,9730 ,3669 ,0 ,432 
LH1단지,35495,4253 ,7076 ,4253 ,7076 ,0 ,365 
LH49단지행복주택아파트,35768,740 ,1392 ,740 ,1392 ,0 ,68 
LH49단지행복주택아파트,35769,1958 ,899 ,1958 ,899 ,0 ,92 
LH7단지,35451,3410 ,2141 ,3410 ,2141 ,0 ,179 
LH7단지,35452,2341 ,3859 ,2341 ,3859 ,0 ,200 
LH미추홀3단지,37222,3557 ,6647 ,3557 ,6647 ,0 ,329 
LH미추홀3단지,37635,6414 ,3273 ,6414 ,3273 ,0 ,312 
NKG물류센터,89212,321 ,214 ,321 ,214 ,0 ,17 
SH글로벌,41083,1188 ,444 ,1188 ,444 ,0 ,52 
SH글로벌,41084,648 ,1910 ,648 ,1910 ,0 ,82 
SK.GS주유소,89230,1313 ,1751 ,1313 ,1751 ,0 ,98 
SK.GS주유소,89231,1716 ,1785 ,1716 ,1785 ,0 ,112 
SKLPG충전사업소,35636,990 ,12 ,990 ,12 ,0 ,32 
SKLPG충전사업소,35638,6 ,928 ,6 ,928 ,0 ,30 
SK뷰아파트,42888,1475 ,4231 ,1475 ,4231 ,0 ,184 
SK뷰아파트,42889,5569 ,1262 ,5569 ,1262 ,0 ,220 
SK스카이뷰,37601,318 ,31963 ,318 ,31963 ,0 ,1041 
SK스카이뷰104동,37587,6243 ,73 ,6243 ,73 ,0 ,203 
SK스카이뷰109동,37607,7317 ,109 ,7317 ,109 ,0 ,239 
SK인천석유화학,42767,760 ,822 ,760 ,822 ,0 ,51 
SK인천석유화학,42768,639 ,834 ,639 ,834 ,0 ,47 
SK주유소,42956,983 ,885 ,983 ,885 ,0 ,60 
SK주유소앞,35287,1965 ,278 ,1965 ,278 ,0 ,72 
SK주유소앞,35539,139 ,1564 ,139 ,1564 ,0 ,54 
SK충전소,35085,24 ,2002 ,24 ,2002 ,0 ,65 
e편한세상 정문,38624,23206 ,2824 ,23206 ,2824 ,0 ,839 
e편한세상(109동 앞),32062,740 ,1191 ,740 ,1191 ,0 ,62 
e편한세상(109동앞),38643,937 ,449 ,937 ,449 ,0 ,44 
e편한세상1차(정문),35662,1679 ,2636 ,1679 ,2636 ,0 ,139 
e편한세상1차(정문),35663,3521 ,1480 ,3521 ,1480 ,0 ,161 
e편한세상검단어반센트로,89554,2256 ,2067 ,2256 ,2067 ,0 ,139 
e편한세상검단어반센트로,89555,2824 ,1788 ,2824 ,1788 ,0 ,148 
e편한세상계양,41037,14112 ,3943 ,14112 ,3943 ,0 ,582 
e편한세상계양,41038,5492 ,14234 ,5492 ,14234 ,0 ,636 
e편한세상부평그랑힐스정문,40928,3370 ,356 ,3370 ,356 ,0 ,120 
e편한세상부평그랑힐스정문,40929,505 ,3832 ,505 ,3832 ,0 ,139 
e편한세상부평그랑힐스후문,40930,2725 ,380 ,2725 ,380 ,0 ,100 
e편한세상영종센텀베뉴정문,35510,1108 ,4541 ,1108 ,4541 ,0 ,182 
e편한세상영종오션하임,35674,1550 ,698 ,1550 ,698 ,0 ,72 
e편한세상영종오션하임,35761,677 ,1188 ,677 ,1188 ,0 ,60 
e편한세상영종하늘도시,35646,415 ,525 ,415 ,525 ,0 ,30 
e편한세상영종하늘도시,35647,217 ,504 ,217 ,504 ,0 ,23 
e편한세상주안에듀서밋아파트,37158,2970 ,2201 ,2970 ,2201 ,0 ,166 
e편한세상주안에듀서밋아파트,37159,868 ,3963 ,868 ,3963 ,0 ,155 
gym80fitness,37081,3180 ,1137 ,3180 ,1137 ,0 ,139 
㈜한슬,42814,0 ,171 ,0 ,171 ,0 ,5 
가경공원,89365,1347 ,1057 ,1347 ,1057 ,0 ,77 
가구단지사거리,37455,2853 ,3611 ,2853 ,3611 ,0 ,208 
가구단지사거리,37456,2744 ,2032 ,2744 ,2032 ,0 ,154 
가구전시장,42072,1052 ,1397 ,1052 ,1397 ,0 ,79 
가구전시장,42074,1732 ,825 ,1732 ,825 ,0 ,82 
가나안마을앞,43904,1 ,13 ,1 ,13 ,0 ,0 
가나안마을앞,43905,9 ,0 ,9 ,0 ,0 ,0 
가능포,43969,5 ,4 ,5 ,4 ,0 ,0 
가능포,43970,0 ,31 ,0 ,31 ,0 ,1 
가림고등학교,42078,14659 ,13633 ,14659 ,13633 ,0 ,912 
가야,42807,1566 ,4 ,1566 ,4 ,0 ,50 
가야,42808,11 ,1393 ,11 ,1393 ,0 ,45 
가오대입구,80033,112 ,283 ,112 ,283 ,0 ,12 
가오대입구,80034,84 ,621 ,84 ,621 ,0 ,22 
가원초등학교,42952,5752 ,4119 ,5752 ,4119 ,0 ,318 
가원초등학교,89118,2716 ,5547 ,2716 ,5547 ,0 ,266 
가재우물터,35678,19 ,6 ,19 ,6 ,0 ,0 
가재우물터,35700,4 ,20 ,4 ,20 ,0 ,0 
가재울사거리,42039,2690 ,5276 ,2690 ,5276 ,0 ,256 
가재울사거리,42042,8207 ,5055 ,8207 ,5055 ,0 ,427 
가재울역1번출구,42035,1702 ,968 ,1702 ,968 ,0 ,86 
가재울역2번출구,42033,15890 ,9163 ,15890 ,9163 ,0 ,808 
가재울역3번출구,42032,9717 ,3585 ,9717 ,3585 ,0 ,429 
가재울역4번출구,42034,2314 ,2854 ,2314 ,2854 ,0 ,166 
가정(루원시티)역,89050,9722 ,52781 ,9722 ,52781 ,0 ,2016 
가정(루원시티)역,89051,68663 ,13146 ,68663 ,13146 ,0 ,2639 
가정(루원시티)역,89075,83617 ,101594 ,83617 ,101594 ,0 ,5974 
가정(루원시티)역,89078,91859 ,74764 ,91859 ,74764 ,0 ,5374 
가정3동성당,42226,383 ,3100 ,383 ,3100 ,0 ,112 
가정LH3단지정문앞,89041,18602 ,4249 ,18602 ,4249 ,0 ,737 
가정고등학교,42200,11993 ,4865 ,11993 ,4865 ,0 ,543 
가정고등학교,42203,3713 ,7777 ,3713 ,7777 ,0 ,370 
가정교,89502,122 ,1427 ,122 ,1427 ,0 ,49 
가정교,89503,2371 ,320 ,2371 ,320 ,0 ,86 
가정교차로,89390,870 ,931 ,870 ,931 ,0 ,58 
가정교차로,89391,307 ,2165 ,307 ,2165 ,0 ,79 
가정동성당,89102,3089 ,3382 ,3089 ,3382 ,0 ,208 
가정동성당,89105,2241 ,1517 ,2241 ,1517 ,0 ,121 
가정보금자리,89119,2033 ,857 ,2033 ,857 ,0 ,93 
가정보금자리,89120,170 ,1659 ,170 ,1659 ,0 ,59 
가정여자중학교,42041,1237 ,8286 ,1237 ,8286 ,0 ,307 
가정여자중학교,89527,992 ,1979 ,992 ,1979 ,0 ,95 
가정중앙시장역,42215,1017 ,1761 ,1017 ,1761 ,0 ,89 
가정중앙시장역,42219,1386 ,1364 ,1386 ,1364 ,0 ,88 
가정택지삼거리,89385,223 ,144 ,223 ,144 ,0 ,11 
가정택지삼거리,89386,214 ,619 ,214 ,619 ,0 ,26 
가정휴먼시아3단지,89186,836 ,1503 ,836 ,1503 ,0 ,75 
가정휴먼시아3단지,89187,1526 ,965 ,1526 ,965 ,0 ,80 
가좌2동행정복지센터,42073,5325 ,477 ,5325 ,477 ,0 ,187 
가좌2동행정복지센터,42076,201 ,5888 ,201 ,5888 ,0 ,196 
가좌3동행정복지센터,42075,11677 ,14077 ,11677 ,14077 ,0 ,830 
가좌4동행정복지센터,42062,3450 ,1764 ,3450 ,1764 ,0 ,168 
가좌고등학교,42060,14293 ,12428 ,14293 ,12428 ,0 ,861 
가좌고등학교,42061,5591 ,8803 ,5591 ,8803 ,0 ,464 
가좌공단,42526,23 ,10414 ,23 ,10414 ,0 ,336 
가좌공단,42945,7821 ,869 ,7821 ,869 ,0 ,280 
가좌교회,42055,2622 ,3031 ,2622 ,3031 ,0 ,182 
가좌교회,42057,3925 ,4026 ,3925 ,4026 ,0 ,256 
가좌녹지공원,42029,1797 ,3271 ,1797 ,3271 ,0 ,163 
가좌녹지공원,42030,2139 ,1712 ,2139 ,1712 ,0 ,124 
가좌농협,42066,8718 ,6602 ,8718 ,6602 ,0 ,494 
가좌농협,42067,6097 ,6424 ,6097 ,6424 ,0 ,403 
가좌동차고,42939,2665 ,365 ,2665 ,365 ,0 ,97 
가좌동차고지,42522,13 ,1076 ,13 ,1076 ,0 ,35 
가좌두산위브104동앞,42090,4359 ,3491 ,4359 ,3491 ,0 ,253 
가좌사거리,42043,20 ,221 ,20 ,221 ,0 ,7 
가좌사거리,42044,413 ,3562 ,413 ,3562 ,0 ,128 
가좌진주아파트,42100,14899 ,30714 ,14899 ,30714 ,0 ,1471 
가좌초등학교,42069,4079 ,4266 ,4079 ,4266 ,0 ,269 
가좌초등학교,42070,4902 ,2346 ,4902 ,2346 ,0 ,233 
가좌테니스장,37454,2333 ,1016 ,2333 ,1016 ,0 ,108 
가좌테니스장,37457,861 ,1249 ,861 ,1249 ,0 ,68 
가좌현대아파트,42130,8030 ,2183 ,8030 ,2183 ,0 ,329 
가좌현대아파트,42133,928 ,8814 ,928 ,8814 ,0 ,314 
가좌홈플러스(쌍마아파트),42101,12242 ,7208 ,12242 ,7208 ,0 ,627 
가좌홈플러스(쌍마아파트),42103,7127 ,13164 ,7127 ,13164 ,0 ,654 
가좌환경사업소,42631,7550 ,4586 ,7550 ,4586 ,0 ,391 
가좌환경사업소 북측,89341,307 ,385 ,307 ,385 ,0 ,22 
가좌환경사업소북측,89342,13 ,250 ,13 ,250 ,0 ,8 
가천대학교,38270,1281 ,1097 ,1281 ,1097 ,0 ,76 
가천대학교,38284,7372 ,3042 ,7372 ,3042 ,0 ,335 
가천대학교(노인복지회관),38269,735 ,1145 ,735 ,1145 ,0 ,60 
가천의대,43237,0 ,22 ,0 ,22 ,0 ,0 
가천의대,43897,34 ,8 ,34 ,8 ,0 ,1 
가톨릭대,43325,1 ,54 ,1 ,54 ,0 ,1 
가현오일뱅크,42734,22 ,17 ,22 ,17 ,0 ,1 
가현중학교,42722,3010 ,2769 ,3010 ,2769 ,0 ,186 
가현초교앞(루에블리아파트),89242,2070 ,3631 ,2070 ,3631 ,0 ,183 
가현초교앞(센트럴타운아파트),89243,5044 ,1057 ,5044 ,1057 ,0 ,196 
각곡,43602,0 ,71 ,0 ,71 ,0 ,2 
각곡,43772,117 ,10 ,108 ,10 ,9 ,4 
간석4거리,39538,260 ,230 ,260 ,230 ,0 ,15 
간석4동행정복지센터,39403,4098 ,7199 ,4098 ,7199 ,0 ,364 
간석4동행정복지센터,39412,5008 ,2918 ,5008 ,2918 ,0 ,255 
간석금호어울림아파트,39334,26537 ,14951 ,26537 ,14951 ,0 ,1338 
간석남부역,37429,4368 ,1168 ,4368 ,1168 ,0 ,178 
간석남부역,37435,10757 ,7841 ,10757 ,7841 ,0 ,599 
간석남부역,37529,1874 ,4126 ,1874 ,4126 ,0 ,193 
간석동용광경로당,39394,936 ,642 ,936 ,642 ,0 ,50 
간석래미안.자이,39333,16329 ,18103 ,16329 ,18103 ,0 ,1110 
간석북부역,39806,4467 ,69 ,4467 ,69 ,0 ,146 
간석북부역,39807,36 ,3153 ,36 ,3153 ,0 ,102 
간석북부역·우성1차,39368,13664 ,5480 ,13664 ,5480 ,0 ,617 
간석북부역·우성1차,39370,5914 ,11121 ,5914 ,11121 ,0 ,549 
간석사거리,39413,13406 ,9241 ,13406 ,9241 ,0 ,730 
간석사거리,39414,4933 ,10407 ,4933 ,10407 ,0 ,494 
간석사거리,39430,2843 ,2911 ,2843 ,2911 ,0 ,185 
간석사거리(상인천중학교),39422,12372 ,28052 ,12372 ,28052 ,0 ,1304 
간석사거리(상인천중학교),39426,31133 ,20090 ,31133 ,20090 ,0 ,1652 
간석시장,39434,13111 ,30601 ,13111 ,30601 ,0 ,1410 
간석시장,39436,56271 ,31794 ,56271 ,31794 ,0 ,2840 
간석시장,39437,17585 ,23258 ,17585 ,23258 ,0 ,1317 
간석오거리,39460,15329 ,16040 ,15329 ,16040 ,0 ,1011 
간석오거리,39597,4653 ,3927 ,4653 ,3927 ,0 ,276 
간석오거리(교원공제조합),39444,34177 ,30328 ,34177 ,30328 ,0 ,2080 
간석오거리(교원공제조합),39446,15404 ,12417 ,15404 ,12417 ,0 ,897 
간석오거리(인천웨딩홀),39406,8360 ,12296 ,8360 ,12296 ,0 ,666 
간석오거리(인천웨딩홀),39423,35478 ,21103 ,35478 ,21103 ,0 ,1825 
간석오거리역(2번출구),39448,13069 ,19136 ,13069 ,19136 ,0 ,1038 
간석오거리역(7번출구),39447,17391 ,32593 ,17391 ,32593 ,0 ,1612 
간석오거리역(8번출구),39449,63076 ,71216 ,63076 ,71216 ,0 ,4332 
간석지구대,39535,714 ,732 ,714 ,732 ,0 ,46 
간석지구대,39536,839 ,1011 ,839 ,1011 ,0 ,59 
간석풍림아파트,92053,835 ,808 ,835 ,808 ,0 ,53 
간석한신더휴아파트맞은편,37447,2784 ,510 ,2784 ,510 ,0 ,106 
간재울초등학교,42347,5591 ,3902 ,5591 ,3902 ,0 ,306 
간촌,43504,10 ,41 ,10 ,41 ,0 ,1 
간촌,43518,29 ,7 ,29 ,7 ,0 ,1 
갈산대동아파트,40550,390 ,939 ,390 ,939 ,0 ,42 
갈산동아아파트,40567,1749 ,1751 ,1749 ,1751 ,0 ,112 
갈산동입구,40622,64 ,4093 ,64 ,4093 ,0 ,134 
갈산동천주교회,40652,1000 ,5315 ,1000 ,5315 ,0 ,203 
갈산동천주교회맞은편,40650,7140 ,5358 ,7140 ,5358 ,0 ,403 
갈산두산아파트,40544,5170 ,6291 ,5170 ,6291 ,0 ,369 
갈산사거리,40631,2896 ,5117 ,2896 ,5117 ,0 ,258 
갈산사거리,40634,3381 ,5191 ,3381 ,5191 ,0 ,276 
갈산새마을금고,40635,9224 ,2657 ,9224 ,2657 ,0 ,383 
갈산시장,40628,7223 ,6341 ,7223 ,6341 ,0 ,437 
갈산시장.갈산도서관,40629,2282 ,6108 ,2282 ,6108 ,0 ,270 
갈산역,40601,36754 ,13221 ,36754 ,13221 ,0 ,1612 
갈산역,40602,10979 ,43310 ,10979 ,43310 ,0 ,1751 
갈산역(1번출구),40604,21339 ,7549 ,21339 ,7549 ,0 ,931 
갈산역(부평4공단)4번출구,40606,6740 ,17114 ,6740 ,17114 ,0 ,769 
갈산주공1단지,40578,3258 ,2189 ,3258 ,2189 ,0 ,175 
갈산주공1단지105동,40813,5279 ,2615 ,5279 ,2615 ,0 ,254 
갈산주공2단지,40562,556 ,1381 ,556 ,1381 ,0 ,62 
갈산주공2단지,40577,4549 ,7694 ,4549 ,7694 ,0 ,394 
갈산태화아파트,40542,559 ,1290 ,559 ,1290 ,0 ,59 
갈산태화아파트,40664,3824 ,748 ,3824 ,748 ,0 ,147 
갈산태화아파트,40666,268 ,1500 ,268 ,1500 ,0 ,57 
갈산태화아파트,40667,563 ,2706 ,563 ,2706 ,0 ,105 
갈삼사거리,40940,7 ,64 ,7 ,64 ,0 ,2 
갈월초등학교,40531,149 ,1027 ,149 ,1027 ,0 ,37 
갈현경로당,41491,62 ,370 ,62 ,370 ,0 ,13 
갈현경로당앞,41607,236 ,54 ,236 ,54 ,0 ,9 
갈현교,41608,1 ,1 ,1 ,1 ,0 ,0 
갈현교,41609,0 ,25 ,0 ,25 ,0 ,0 
갈현교입구,41492,117 ,55 ,117 ,55 ,0 ,5 
갈현교입구,41617,63 ,181 ,63 ,181 ,0 ,7 
갈현동마을,41351,583 ,650 ,583 ,650 ,0 ,39 
갈현동마을,41352,185 ,851 ,185 ,851 ,0 ,33 
갑곶돈대.강화전쟁박물관,43365,3 ,1 ,3 ,1 ,0 ,0 
갑곶돈대.강화전쟁박물관,43728,0 ,18 ,0 ,18 ,0 ,0 
갑곶돈대입구,43367,1 ,14 ,1 ,14 ,0 ,0 
갑곶돈대입구,43726,34 ,5 ,34 ,5 ,0 ,1 
갑륭초교,43374,2 ,2 ,2 ,2 ,0 ,0 
갑륭초교,43724,9 ,271 ,9 ,271 ,0 ,9 
갑문,35125,14 ,438 ,14 ,438 ,0 ,14 
갑문,35504,207 ,14 ,207 ,14 ,0 ,7 
강남시장,42172,18948 ,13577 ,18948 ,13577 ,0 ,1049 
강남시장,42173,12155 ,11165 ,12155 ,11165 ,0 ,752 
강남역도시에빛,31076,5506 ,6791 ,5506 ,6791 ,0 ,396 
강남역서초현대타워앞,31016,46114 ,28744 ,46114 ,28744 ,0 ,2414 
강남중교,43213,161 ,22 ,161 ,22 ,0 ,5 
강남중교,43278,28 ,192 ,26 ,192 ,2 ,7 
강서구청사거리.서울디지털대학교(중),16007,985 ,365 ,985 ,365 ,0 ,43 
강서구청사거리.서울디지털대학교(중),16008,602 ,989 ,602 ,989 ,0 ,51 
강서중학교,43660,9 ,101 ,9 ,101 ,0 ,3 
강서중학교,43898,60 ,28 ,59 ,28 ,1 ,2 
강인여객,40020,1211 ,1575 ,1211 ,1575 ,0 ,89 
강인여객,40022,1068 ,842 ,1068 ,842 ,0 ,61 
강화갯벌장어,43671,1 ,4 ,1 ,4 ,0 ,0 
강화고등학교,43564,3 ,32 ,2 ,32 ,1 ,1 
강화고등학교,43761,69 ,71 ,69 ,71 ,0 ,4 
강화군 행복센터,43055,248 ,1750 ,246 ,1750 ,2 ,64 
강화군 행복센터,43056,12 ,388 ,12 ,388 ,0 ,12 
강화군노인문화센터,90373,8 ,41 ,8 ,41 ,0 ,1 
강화군노인문화센터,90374,75 ,17 ,75 ,17 ,0 ,2 
강화군청,43065,3927 ,1428 ,3869 ,1428 ,58 ,172 
강화군청,43108,1479 ,2761 ,1475 ,2761 ,4 ,136 
"강화군청,수라면옥",90487,166 ,48 ,164 ,48 ,2 ,6 
"강화군청,수라면옥",90488,1 ,208 ,1 ,208 ,0 ,6 
강화루지.강남상회,43150,179 ,63 ,179 ,63 ,0 ,7 
강화루지.강남상회,43250,85 ,229 ,85 ,229 ,0 ,10 
강화마니산,43001,44 ,47 ,44 ,47 ,0 ,2 
강화마니산,43002,353 ,171 ,353 ,171 ,0 ,16 
강화문화원.종합전시관,43097,16 ,71 ,16 ,71 ,0 ,2 
강화문화원.종합전시관,43098,267 ,698 ,267 ,698 ,0 ,31 
강화병원,43088,30 ,2705 ,30 ,2705 ,0 ,88 
강화병원,43089,1827 ,98 ,1827 ,98 ,0 ,62 
강화산단,90123,0 ,8 ,0 ,8 ,0 ,0 
강화산단입구,90096,16 ,38 ,15 ,38 ,1 ,1 
강화산단입구,90097,11 ,0 ,11 ,0 ,0 ,0 
강화산성서문,43080,234 ,220 ,234 ,220 ,0 ,14 
강화산성서문,43081,64 ,118 ,64 ,118 ,0 ,5 
강화서문,43063,926 ,375 ,923 ,375 ,3 ,41 
강화서문,43064,429 ,731 ,418 ,731 ,11 ,37 
강화소방서,43364,65 ,267 ,65 ,267 ,0 ,10 
강화소방서,43587,299 ,67 ,298 ,67 ,1 ,11 
강화수양관앞,43467,42 ,15 ,42 ,15 ,0 ,1 
강화수양관앞,43732,5 ,41 ,5 ,41 ,0 ,1 
강화슈퍼,43066,1074 ,1258 ,1072 ,1258 ,2 ,75 
강화슈퍼,43068,1646 ,698 ,1601 ,698 ,45 ,75 
강화여자중학교,90334,4 ,168 ,4 ,168 ,0 ,5 
강화여자중학교,90481,52 ,39 ,52 ,39 ,0 ,2 
강화역사박물관(고인돌),43601,316 ,48 ,313 ,48 ,3 ,11 
강화역사박물관(고인돌),43670,42 ,442 ,42 ,442 ,0 ,15 
강화유치원,90484,0 ,7 ,0 ,7 ,0 ,0 
강화유치원,90485,29 ,12 ,29 ,12 ,0 ,1 
강화장례식장,43918,1643 ,218 ,1625 ,218 ,18 ,60 
강화장례식장,43946,79 ,1807 ,79 ,1807 ,0 ,60 
강화중학교,43207,21 ,69 ,21 ,69 ,0 ,2 
강화중학교,43623,36 ,93 ,36 ,93 ,0 ,4 
강화터미널,43057,18 ,645 ,18 ,645 ,0 ,21 
강화터미널,43058,290 ,956 ,290 ,956 ,0 ,40 
강화터미널,43096,60873 ,42403 ,60439 ,42403 ,434 ,3331 
개항동 어울터,35197,9233 ,2011 ,9233 ,2011 ,0 ,362 
개항동 어울터,35198,2361 ,9317 ,2361 ,9317 ,0 ,376 
개화119안전센터,25023,40 ,1528 ,40 ,1528 ,0 ,50 
개화119안전센터,25024,1572 ,27 ,1572 ,27 ,0 ,51 
개화역1번출구.개화검문소,25030,358 ,7572 ,358 ,7572 ,0 ,255 
개화역1번출구.개화검문소,25031,2448 ,381 ,2448 ,381 ,0 ,91 
개화역광역환승센터,25182,1369 ,2197 ,1369 ,2197 ,0 ,115 
갤러리84입구,35666,24 ,7 ,24 ,7 ,0 ,1 
갤러리84입구,35667,25 ,28 ,25 ,28 ,0 ,1 
갯벌슈퍼,43410,1 ,25 ,1 ,25 ,0 ,0 
갯벌슈퍼,43513,3 ,8 ,3 ,8 ,0 ,0 
거북시장,42132,12158 ,11131 ,12158 ,11131 ,0 ,751 
거북시장,42136,12391 ,10029 ,12391 ,10029 ,0 ,723 
거산정공.(주)록키,39137,2023 ,2473 ,2023 ,2473 ,0 ,145 
거잠포선착장,35302,58 ,165 ,58 ,165 ,0 ,7 
거잠포선착장,35303,123 ,74 ,122 ,74 ,1 ,6 
거잠포회센터,35588,43 ,59 ,43 ,59 ,0 ,3 
건설기술교육원,39353,6449 ,11663 ,6449 ,11663 ,0 ,584 
건설기술교육원,39354,5650 ,4039 ,5650 ,4039 ,0 ,312 
건영아파트·나사렛국제병원,38069,15673 ,43385 ,15673 ,43385 ,0 ,1905 
건일아파트,43015,541 ,277 ,541 ,277 ,0 ,26 
건일아파트,43094,260 ,381 ,260 ,381 ,0 ,20 
건지사거리,42882,102 ,1 ,102 ,1 ,0 ,3 
건지사거리,42883,0 ,152 ,0 ,152 ,0 ,4 
건평,43168,132 ,39 ,129 ,39 ,3 ,5 
건평,43186,3 ,45 ,3 ,45 ,0 ,1 
건평리,43187,44 ,1 ,43 ,1 ,1 ,1 
건평리,43651,1 ,28 ,1 ,28 ,0 ,0 
건평마을회관,43594,14 ,26 ,14 ,26 ,0 ,1 
건평입구,43170,0 ,11 ,0 ,11 ,0 ,0 
건평입구,43331,9 ,10 ,9 ,10 ,0 ,0 
걸포북변역,35560,638 ,6483 ,638 ,6483 ,0 ,229 
걸포북변역,35610,3432 ,647 ,3432 ,647 ,0 ,131 
