정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
풍무역,80167,787 ,4753 ,787 ,4753 ,0 ,178 
풍무역,80168,4311 ,868 ,4311 ,868 ,0 ,167 
풍물시장,35054,366 ,988 ,366 ,988 ,0 ,43 
풍물시장,35055,263 ,60 ,263 ,60 ,0 ,10 
풍물시장,43941,145 ,7584 ,139 ,7584 ,6 ,249 
풍산빌라 입구,90384,23 ,19 ,23 ,19 ,0 ,1 
풍산특수금속,90219,6 ,12 ,6 ,12 ,0 ,0 
프라임,39643,5402 ,1480 ,5402 ,1480 ,0 ,222 
프리상뜨아파트,40230,15 ,4344 ,15 ,4344 ,0 ,140 
프린피아통합물류센터,89235,323 ,4 ,323 ,4 ,0 ,10 
하나개삼거리,35733,34 ,67 ,34 ,67 ,0 ,3 
하나개삼거리,35734,14 ,60 ,14 ,60 ,0 ,2 
하나개해수욕장,35737,2739 ,2475 ,2731 ,2475 ,8 ,168 
하나글로벌캠퍼스,89444,1871 ,727 ,1871 ,727 ,0 ,83 
하나글로벌캠퍼스,89445,495 ,3955 ,495 ,3955 ,0 ,143 
하나금융그룹통합데이터센터,89265,389 ,1870 ,389 ,1870 ,0 ,72 
하나금융그룹통합데이터센터,89294,193 ,172 ,193 ,172 ,0 ,11 
하나로쇼핑,37118,3849 ,9902 ,3849 ,9902 ,0 ,443 
하나모터스,89451,510 ,2 ,510 ,2 ,0 ,16 
하나모터스,89452,4 ,323 ,4 ,323 ,0 ,10 
하나아파트,37051,1940 ,7542 ,1940 ,7542 ,0 ,305 
하나아파트,37052,8929 ,3403 ,8929 ,3403 ,0 ,397 
하나아파트,40546,1329 ,1875 ,1329 ,1875 ,0 ,103 
하나아파트,41250,4812 ,6252 ,4812 ,6252 ,0 ,356 
하나아파트,41574,3346 ,784 ,3346 ,784 ,0 ,133 
하나아파트 101동,41578,1178 ,2296 ,1178 ,2296 ,0 ,112 
하늘고등학고,35924,27 ,27 ,27 ,27 ,0 ,1 
하늘고등학교,35925,25 ,51 ,25 ,51 ,0 ,2 
하늘도시중심상가,35821,1873 ,254 ,1873 ,254 ,0 ,68 
하늘도시중심상가,35822,392 ,1871 ,392 ,1871 ,0 ,73 
하늘문화센터,35826,14 ,525 ,14 ,525 ,0 ,17 
하늘문화센터,35827,816 ,204 ,815 ,204 ,1 ,32 
하늘문화센터입구,35766,5 ,316 ,5 ,316 ,0 ,10 
하늘문화센터입구,35767,82 ,8 ,82 ,8 ,0 ,2 
하늘중학교,35823,884 ,1527 ,884 ,1527 ,0 ,77 
하늘초등학교후문·한신더휴2차후문,35499,1281 ,610 ,1281 ,610 ,0 ,61 
하늘초등학교후문·한신더휴2차후문,35500,508 ,1864 ,508 ,1864 ,0 ,76 
하늘휴게소,70220,2532 ,10105 ,2532 ,10105 ,0 ,407 
하늘휴게소,70221,8854 ,2745 ,8854 ,2745 ,0 ,374 
하룩,43157,47 ,186 ,47 ,186 ,0 ,7 
하룩,43281,274 ,74 ,274 ,74 ,0 ,11 
하리마을회관,90243,0 ,14 ,0 ,14 ,0 ,0 
하리마을회관,90244,29 ,0 ,26 ,0 ,3 ,0 
하리선착장,90240,4 ,28 ,4 ,28 ,0 ,1 
하야동,41438,404 ,561 ,404 ,561 ,0 ,31 
하야동,41439,590 ,807 ,590 ,807 ,0 ,45 
하얀마을,55035,2885 ,2683 ,2885 ,2683 ,0 ,179 
하얀집민박,43440,26 ,1 ,25 ,1 ,1 ,0 
하얀집민박,43497,2 ,30 ,2 ,30 ,0 ,1 
하얏트호텔,35028,1506 ,9056 ,1505 ,9056 ,1 ,340 
하얏트호텔,35206,3528 ,4127 ,3522 ,4127 ,6 ,246 
하우고개,43275,45 ,127 ,45 ,127 ,0 ,5 
하우고개,43577,144 ,61 ,144 ,61 ,0 ,6 
하우스앞,43174,7 ,1 ,7 ,1 ,0 ,0 
하우스앞,43231,1 ,13 ,1 ,13 ,0 ,0 
하우스토리,41569,343 ,279 ,343 ,279 ,0 ,20 
하우스토리,41570,139 ,1181 ,139 ,1181 ,0 ,42 
하우스토리,41606,466 ,463 ,466 ,463 ,0 ,29 
하우스토리,41626,729 ,451 ,729 ,451 ,0 ,38 
하우스토리만수아파트,39301,1180 ,1019 ,1180 ,1019 ,0 ,70 
하일부락입구,43967,0 ,2 ,0 ,2 ,0 ,0 
하일부락입구,43971,0 ,16 ,0 ,16 ,0 ,0 
하점공단,43448,1 ,78 ,1 ,78 ,0 ,2 
하점공단,43755,31 ,7 ,28 ,7 ,3 ,1 
하점면사무소,43738,363 ,269 ,356 ,269 ,7 ,20 
하점면사무소,43834,207 ,445 ,200 ,445 ,7 ,21 
하점순복음교회,90222,156 ,3 ,154 ,3 ,2 ,5 
하점순복음교회,90223,0 ,43 ,0 ,43 ,0 ,1 
하점우체국,43817,411 ,88 ,401 ,88 ,10 ,16 
하점우체국,43838,84 ,538 ,82 ,538 ,2 ,20 
하점초등학교,43739,24 ,101 ,23 ,101 ,1 ,4 
하점초등학교,43836,146 ,13 ,145 ,13 ,1 ,5 
하정초등학교,40044,2352 ,1277 ,2352 ,1277 ,0 ,117 
하정초등학교,40046,1386 ,2739 ,1386 ,2739 ,0 ,133 
학마을한진아파트정문,41293,2712 ,2933 ,2712 ,2933 ,0 ,182 
학산사거리,37025,6451 ,312 ,6451 ,312 ,0 ,218 
학산사거리,37027,221 ,3968 ,221 ,3968 ,0 ,135 
학산소극장,37169,20112 ,4469 ,20112 ,4469 ,0 ,792 
학산소극장,37173,9139 ,17436 ,9139 ,17436 ,0 ,857 
학생안전체험관,39284,2731 ,5217 ,2731 ,5217 ,0 ,256 
학익.원흥아파트,37015,1893 ,64 ,1893 ,64 ,0 ,63 
학익2동행정복지센터,37150,15143 ,7969 ,15143 ,7969 ,0 ,745 
학익2동행정복지센터,37151,8452 ,14505 ,8452 ,14505 ,0 ,740 
학익SKVIEW·동아풍림아파트,37562,3352 ,2202 ,3352 ,2202 ,0 ,179 
학익고등학교·학익SKVIEW,37029,13353 ,4166 ,13353 ,4166 ,0 ,565 
학익고등학교·학익SKVIEW,37505,4732 ,10424 ,4732 ,10424 ,0 ,488 
학익동구치소,37139,483 ,1275 ,483 ,1275 ,0 ,56 
학익동성당앞,37630,1779 ,53 ,1779 ,53 ,0 ,59 
학익동성당앞,37631,147 ,924 ,147 ,924 ,0 ,34 
학익동아풍림아파트·SKVIEW,37058,34 ,756 ,34 ,756 ,0 ,25 
학익사거리,37075,4068 ,1569 ,4068 ,1569 ,0 ,181 
학익사거리,37077,2813 ,7884 ,2813 ,7884 ,0 ,345 
학익사거리(동아풍림아파트),37084,11777 ,5415 ,11777 ,5415 ,0 ,554 
학익사거리(동아풍림아파트),37089,9702 ,9496 ,9702 ,9496 ,0 ,619 
학익시장,37106,15263 ,5832 ,15263 ,5832 ,0 ,680 
학익시장,37112,3323 ,13047 ,3323 ,13047 ,0 ,528 
학익시장(법원검찰청),37080,12337 ,6278 ,12337 ,6278 ,0 ,600 
학익시장앞,37082,4820 ,5367 ,4820 ,5367 ,0 ,328 
학익여자고등학교,37140,459 ,1235 ,459 ,1235 ,0 ,54 
학익여자고등학교,37566,550 ,899 ,550 ,899 ,0 ,46 
학익풍림아파트,37487,16 ,3359 ,16 ,3359 ,0 ,108 
한가라지고개,90158,1 ,11 ,1 ,11 ,0 ,0 
한가라지입구,90159,6 ,1 ,6 ,1 ,0 ,0 
한가라지입구,90160,0 ,5 ,0 ,5 ,0 ,0 
한가람마을우미린.호수이편한세상,80318,1090 ,3016 ,1090 ,3016 ,0 ,132 
한강로사거리,35291,98 ,678 ,98 ,678 ,0 ,25 
한강로사거리,35295,847 ,190 ,847 ,190 ,0 ,33 
한강센트럴블루힐.모아엘가2차,80375,314 ,270 ,314 ,270 ,0 ,18 
한국가스공사,39061,1160 ,1170 ,1160 ,1170 ,0 ,75 
한국가스공사,89273,359 ,673 ,359 ,673 ,0 ,33 
한국가스공사,89274,95 ,739 ,95 ,739 ,0 ,26 
한국가스공사인천지역본부,89114,57 ,85 ,57 ,85 ,0 ,4 
한국가스공사인천지역본부,89115,91 ,64 ,91 ,64 ,0 ,5 
한국거래소,19158,159 ,3 ,159 ,3 ,0 ,5 
한국건설생활환경시험연구원,39312,439 ,349 ,439 ,349 ,0 ,25 
한국건설생활환경시험연구원,39315,818 ,3067 ,818 ,3067 ,0 ,125 
한국공항공사,25002,39 ,772 ,39 ,772 ,0 ,26 
한국공항공사,25144,41 ,18 ,41 ,18 ,0 ,1 
한국국토정보공사인천북부지사,42278,5851 ,6540 ,5851 ,6540 ,0 ,399 
한국국토정보공사인천북부지사,42280,6390 ,3950 ,6390 ,3950 ,0 ,333 
한국글로벌셰프고등학교,43246,119 ,85 ,119 ,85 ,0 ,6 
한국글로벌셰프고등학교,43381,35 ,55 ,35 ,55 ,0 ,2 
한국단자공업연구소,38763,178 ,722 ,178 ,722 ,0 ,29 
한국단자공업연구소,38764,144 ,318 ,144 ,318 ,0 ,14 
한국도심공항터미널,35400,10 ,61 ,10 ,61 ,0 ,2 
한국도심공항터미널,35408,26 ,138 ,26 ,138 ,0 ,5 
한국도심공항터미널,35417,66 ,15 ,66 ,15 ,0 ,2 
한국도심공항터미널앞,35645,31 ,2 ,31 ,2 ,0 ,1 
한국마쓰이,39055,872 ,1478 ,872 ,1478 ,0 ,75 
한국마쓰이,39057,3134 ,1551 ,3134 ,1551 ,0 ,151 
한국만화박물관,40583,5676 ,14108 ,5676 ,14108 ,0 ,638 
한국무역센터.삼성역,23201,365 ,42 ,365 ,42 ,0 ,13 
한국무역센터.삼성역,23251,4867 ,2821 ,4867 ,2821 ,0 ,248 
한국산업단지공단,39060,880 ,139 ,880 ,139 ,0 ,32 
한국산업단지공단,39067,82 ,829 ,82 ,829 ,0 ,29 
한국생산기술연구원,38448,302 ,902 ,302 ,902 ,0 ,38 
한국생산기술연구원(주조기술센터),42271,390 ,838 ,390 ,838 ,0 ,39 
한국생산기술연구원(주조기술센터),42719,456 ,301 ,456 ,301 ,0 ,24 
한국선교역사기념관,40673,2416 ,1154 ,2416 ,1154 ,0 ,115 
한국아파트,37017,3461 ,9610 ,3461 ,9610 ,0 ,421 
한국아파트,37682,5963 ,1305 ,5963 ,1305 ,0 ,234 
한국아파트,38154,2832 ,1888 ,2832 ,1888 ,0 ,152 
한국아파트,40714,86 ,1473 ,86 ,1473 ,0 ,50 
한국아파트,40715,1403 ,68 ,1403 ,68 ,0 ,47 
한국아파트,40790,15400 ,15516 ,15400 ,15516 ,0 ,997 
한국아파트,40791,15177 ,13767 ,15177 ,13767 ,0 ,933 
한국아파트,40792,4656 ,15020 ,4656 ,15020 ,0 ,634 
한국아파트,40816,10824 ,9047 ,10824 ,9047 ,0 ,641 
한국아파트,41206,6381 ,3892 ,6381 ,3892 ,0 ,331 
한국아파트,41208,2487 ,3853 ,2487 ,3853 ,0 ,204 
한국아파트,80057,2005 ,38 ,2005 ,38 ,0 ,65 
한국외대송도캠퍼스,38768,1 ,67 ,1 ,67 ,0 ,2 
한국은행,35898,5228 ,6331 ,5228 ,6331 ,0 ,372 
한국전력,42947,10 ,271 ,10 ,271 ,0 ,9 
한국지엠기술교육원,40560,3693 ,6530 ,3693 ,6530 ,0 ,329 
한국지엠기술교육원,40570,5339 ,3529 ,5339 ,3529 ,0 ,286 
한국지엠청라주행시험장,89412,696 ,889 ,696 ,889 ,0 ,51 
한국지엠청라주행시험장,89413,1386 ,2030 ,1386 ,2030 ,0 ,110 
한국콘베어공업,92049,21 ,0 ,21 ,0 ,0 ,0 
